Participant,S01_c1,S01_c2,S01_c3,S01_c4,S01_c5,S02_c1,S02_c2,S02_c3,S02_c4,S02_c5,S03_c1,S03_c2,S03_c3,S03_c4,S03_c5,S04_c1,S04_c2,S04_c3,S04_c4,S04_c5,S05_c1,S05_c2,S05_c3,S05_c4,S05_c5,S06_c1,S06_c2,S06_c3,S06_c4,S06_c5,S07_c1,S07_c2,S07_c3,S07_c4,S07_c5,S08_c1,S08_c2,S08_c3,S08_c4,S08_c5,S09_c1,S09_c2,S09_c3,S09_c4,S09_c5,S10_c1,S10_c2,S10_c3,S10_c4,S10_c5,S11_c1,S11_c2,S11_c3,S11_c4,S11_c5,S12_c1,S12_c2,S12_c3,S12_c4,S12_c5,S13_c1,S13_c2,S13_c3,S13_c4,S13_c5,S14_c1,S14_c2,S14_c3,S14_c4,S14_c5,S15_c1,S15_c2,S15_c3,S15_c4,S15_c5,S16_c1,S16_c2,S16_c3,S16_c4,S16_c5,S17_c1,S17_c2,S17_c3,S17_c4,S17_c5,S18_c1,S18_c2,S18_c3,S18_c4,S18_c5,S19_c1,S19_c2,S19_c3,S19_c4,S19_c5
142,-1,1,0,0,0,-1,0,1,0,0,1,0,-1,0,0,-1,1,0,0,0,0,0,-1,0,1,-1,0,1,0,0,0,0,1,-1,0,1,-1,0,0,0,-1,0,1,0,0,-1,0,0,0,1,-1,0,0,1,0,-1,0,0,1,0,-1,0,0,1,0,0,1,0,0,-1,0,0,-1,0,1,0,1,-1,0,0,0,1,-1,0,0,0,0,-1,1,0,0,0,-1,0,1
143,-1,1,0,0,0,-1,0,1,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,0,0,0,1,-1,0,1,0,0,-1,0,1,0,0,1,-1,0,0,0,-1,0,1,0,0,-1,0,0,0,1,-1,0,0,1,0,-1,0,0,1,0,-1,0,0,1,0,0,1,0,0,-1,0,0,-1,0,1,0,1,-1,0,0,0,1,-1,0,0,0,0,-1,1,0,0,0,-1,0,1
144,-1,1,0,0,0,0,1,0,-1,0,0,0,0,1,-1,1,0,0,0,-1,0,0,0,-1,1,-1,0,1,0,0,0,0,0,-1,1,0,-1,1,0,0,0,0,1,-1,0,-1,0,1,0,0,0,1,0,-1,0,-1,0,0,0,1,-1,1,0,0,0,0,0,-1,1,0,-1,1,0,0,0,0,0,1,0,-1,0,-1,1,0,0,1,-1,0,0,0,1,0,0,0,-1
145,-1,1,0,0,0,0,1,0,-1,0,0,0,0,1,-1,1,0,0,0,-1,0,0,0,-1,1,-1,0,1,0,0,0,0,0,-1,1,0,-1,1,0,0,0,0,1,-1,0,-1,0,1,0,0,0,1,0,-1,0,-1,0,0,0,1,-1,1,0,0,0,0,0,-1,1,0,-1,1,0,0,0,0,0,1,0,-1,0,-1,1,0,0,1,-1,0,0,0,1,0,0,0,-1
146,-1,0,0,1,0,-1,0,1,0,0,-1,0,0,1,0,0,0,-1,0,1,0,-1,1,0,0,-1,0,0,0,1,-1,0,1,0,0,1,0,0,0,-1,1,-1,0,0,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,0,1,0,0,0,1,0,-1,-1,0,0,0,1,-1,0,1,0,0,0,1,-1,0,0,-1,1,0,0,0,0,-1,0,0,1
147,-1,0,0,1,0,-1,1,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,1,0,-1,0,0,1,0,1,0,0,-1,0,-1,0,0,1,0,-1,0,1,0,0,-1,1,0,0,0,-1,0,0,0,1,-1,1,0,0,0,-1,1,0,0,0,1,0,0,0,-1,-1,0,0,0,1,0,1,-1,0,0,0,1,0,0,-1,0,1,0,-1,0,1,0,0,0,-1
148,-1,1,0,0,0,-1,0,1,0,0,-1,0,0,1,0,1,0,-1,0,0,-1,0,0,0,1,-1,0,0,1,0,0,1,-1,0,0,0,-1,0,1,0,-1,0,1,0,0,0,0,0,1,-1,-1,0,0,1,0,0,-1,1,0,0,0,1,0,-1,0,0,1,0,-1,0,0,1,0,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,0,-1,1,0
149,0,1,-1,0,0,0,1,0,-1,0,0,1,-1,0,0,1,0,-1,0,0,1,0,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,1,0,0,-1,0,1,0,0,-1,0,-1,1,0,0,0,0,1,-1,0,0,0,0,-1,0,1,0,1,-1,0,0,1,0,-1,0,0,0,0,-1,0,1,0,0,-1,1,0,0,1,0,-1,0,0,0,-1,0,1,0,0,-1,1,0
150,0,0,-1,0,1,-1,0,0,0,1,1,0,-1,0,0,1,-1,0,0,0,1,0,0,-1,0,1,-1,0,0,0,0,0,-1,0,1,0,1,0,0,-1,-1,0,0,1,0,-1,0,0,1,0,-1,0,1,0,0,0,1,0,-1,0,-1,0,0,0,1,1,0,0,0,-1,-1,1,0,0,0,1,0,0,0,-1,1,-1,0,0,0,-1,0,1,0,0,1,0,0,0,-1
151,-1,0,0,0,1,0,1,0,-1,0,-1,0,0,1,0,0,1,-1,0,0,-1,0,0,0,1,-1,1,0,0,0,0,1,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,-1,0,0,0,1,-1,0,0,1,0,-1,0,0,0,1,-1,0,0,1,0,0,0,-1,1,0,0,1,0,-1,0,-1,1,0,0,0,-1,1,0,0,0,-1,0,0,0,1,-1,0,0,0,1
152,0,0,1,-1,0,1,0,0,-1,0,1,0,0,0,-1,0,1,0,-1,0,1,-1,0,0,0,-1,1,0,0,0,0,0,0,-1,1,1,0,0,0,-1,1,-1,0,0,0,0,1,-1,0,0,1,0,0,0,-1,0,1,0,0,-1,-1,1,0,0,0,-1,1,0,0,0,0,1,0,0,-1,0,1,-1,0,0,0,1,0,-1,0,-1,0,0,1,0,1,-1,0,0,0
153,-1,1,0,0,0,0,0,1,-1,0,0,1,-1,0,0,-1,1,0,0,0,0,0,-1,0,1,-1,1,0,0,0,0,1,0,-1,0,-1,0,0,1,0,0,-1,1,0,0,-1,0,0,0,1,-1,0,0,1,0,-1,0,0,1,0,-1,1,0,0,0,0,0,-1,1,0,-1,0,0,0,1,-1,1,0,0,0,-1,1,0,0,0,0,1,-1,0,0,0,-1,1,0,0
154,0,1,-1,0,0,0,1,0,-1,0,1,0,0,0,-1,-1,0,0,1,0,-1,1,0,0,0,-1,1,0,0,0,0,1,-1,0,0,1,-1,0,0,0,0,1,0,-1,0,-1,0,0,1,0,-1,1,0,0,0,1,0,0,0,-1,0,1,-1,0,0,0,1,-1,0,0,-1,1,0,0,0,1,0,0,0,-1,-1,1,0,0,0,-1,0,0,1,0,1,-1,0,0,0
155,-1,1,0,0,0,0,-1,0,1,0,0,0,1,0,-1,-1,1,0,0,0,0,-1,0,1,0,0,1,0,0,-1,1,0,0,-1,0,1,0,0,0,-1,0,0,1,0,-1,0,0,1,0,-1,-1,0,1,0,0,0,0,1,0,-1,0,1,0,-1,0,1,0,0,0,-1,-1,0,0,1,0,0,1,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1
156,-1,1,0,0,0,-1,0,0,0,1,-1,0,0,1,0,-1,0,0,0,1,0,-1,0,1,0,-1,0,0,0,1,0,0,1,-1,0,1,0,-1,0,0,0,-1,1,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,0,0,1,0,-1,-1,0,0,1,0,-1,1,0,0,0,-1,0,1,0,0,-1,0,0,1,0,-1,0,1,0,0
157,-1,1,0,0,0,-1,1,0,0,0,1,0,-1,0,0,0,1,0,-1,0,0,1,0,-1,0,-1,0,0,1,0,0,1,0,-1,0,-1,0,0,0,1,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,0,1,0,0,0,1,0,-1,0,-1,1,0,0,0,-1,1,0,0,0,1,0,0,-1,0,0,0,0,-1,1,-1,0,0,0,1,1,0,0,-1,0
158,-1,0,1,0,0,-1,0,0,0,1,-1,0,0,1,0,0,1,0,-1,0,0,1,-1,0,0,-1,1,0,0,0,-1,1,0,0,0,0,1,0,-1,0,-1,0,1,0,0,-1,0,0,1,0,-1,1,0,0,0,-1,0,1,0,0,-1,1,0,0,0,-1,0,1,0,0,0,1,-1,0,0,-1,0,1,0,0,0,1,0,0,-1,0,-1,1,0,0,1,0,0,0,-1
159,-1,0,0,1,0,-1,0,0,0,1,-1,0,0,1,0,-1,0,0,0,1,1,-1,0,0,0,-1,0,0,0,1,-1,1,0,0,0,-1,0,0,1,0,-1,0,1,0,0,-1,0,0,1,0,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,1,0,0,-1,0,0,1,0,-1,0,0,1,0,-1,1,0,0,0,-1,0,0,0,1,0,-1,0,1,0
160,0,1,0,0,-1,0,1,0,-1,0,1,0,0,0,-1,-1,0,0,1,0,0,1,0,0,-1,-1,0,0,1,0,1,0,0,-1,0,0,1,0,0,-1,0,0,1,0,-1,-1,0,0,1,0,1,0,0,0,-1,0,0,1,0,-1,-1,0,0,1,0,0,1,0,0,-1,-1,1,0,0,0,0,1,0,0,-1,0,1,0,0,-1,-1,1,0,0,0,0,0,0,1,-1
161,-1,0,1,0,0,0,0,0,-1,1,-1,0,0,1,0,-1,0,0,1,0,0,-1,0,0,1,-1,0,0,0,1,-1,0,0,0,1,-1,1,0,0,0,0,0,1,0,-1,-1,1,0,0,0,-1,0,0,1,0,-1,0,1,0,0,-1,0,1,0,0,0,0,0,1,-1,-1,0,0,1,0,1,0,0,0,-1,0,-1,1,0,0,0,0,1,0,-1,0,0,1,0,-1
162,-1,0,1,0,0,-1,0,0,0,1,1,0,-1,0,0,-1,1,0,0,0,1,0,-1,0,0,-1,0,0,1,0,0,1,0,-1,0,0,-1,0,1,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,0,1,0,-1,0,0,1,0,0,0,1,0,-1,-1,1,0,0,0,-1,0,0,0,1,0,1,0,-1,0,-1,0,0,0,1,0,-1,0,1,0
163,0,1,-1,0,0,0,0,1,-1,0,0,-1,1,0,0,0,1,0,-1,0,0,0,1,-1,0,0,1,-1,0,0,0,1,0,-1,0,1,0,0,-1,0,0,-1,1,0,0,0,0,1,-1,0,0,0,1,-1,0,0,0,1,0,-1,0,1,-1,0,0,0,1,0,0,-1,0,-1,0,1,0,0,1,0,-1,0,0,0,1,0,-1,1,0,0,-1,0,0,0,1,0,-1
164,0,1,-1,0,0,0,0,0,1,-1,1,0,0,0,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,-1,0,1,0,0,-1,0,1,1,0,0,-1,0,1,0,0,0,-1,1,0,-1,0,0,0,1,-1,0,0,0,1,0,-1,0,0,0,-1,0,1,0,0,-1,1,0,0,0,-1,0,1,0,1,0,0,-1,0,1,0,-1,0,-1,0,0,1,0,0,1,0,-1,0
165,0,0,-1,1,0,-1,1,0,0,0,-1,0,0,1,0,0,1,-1,0,0,1,0,-1,0,0,-1,0,0,1,0,0,0,0,-1,1,-1,1,0,0,0,0,0,1,-1,0,0,0,0,-1,1,-1,0,1,0,0,0,1,0,-1,0,-1,0,0,0,1,1,0,0,0,-1,-1,0,0,1,0,-1,1,0,0,0,0,1,0,0,-1,-1,1,0,0,0,0,-1,0,1,0
166,-1,0,0,1,0,-1,1,0,0,0,-1,0,0,1,0,0,1,-1,0,0,1,0,-1,0,0,-1,0,0,1,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,1,-1,0,1,0,0,1,0,0,0,-1,-1,0,0,1,0,0,0,0,1,-1,-1,0,0,1,0,0,0,-1,0,1,-1,0,0,0,1,-1,1,0,0,0,0,0,-1,1,0
167,-1,0,0,0,1,0,0,1,-1,0,1,0,0,0,-1,0,1,0,0,-1,-1,0,0,0,1,-1,0,0,0,1,0,0,-1,0,1,0,1,-1,0,0,1,0,0,0,-1,-1,1,0,0,0,-1,0,0,1,0,-1,0,0,1,0,-1,1,0,0,0,-1,0,0,1,0,-1,0,0,1,0,0,1,0,0,-1,-1,0,0,1,0,-1,0,0,0,1,1,0,-1,0,0
168,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,1,0,1,0,0,-1,0,1,0,0,-1,0,0,0,1,0,-1,1,0,0,-1,0,1,0,0,-1,0,1,0,0,0,-1,0,0,1,0,-1,0,0,1,0,-1,0,1,0,-1,0,0,1,0,0,-1,0,0,1,0,-1,0,0,-1,1,0,1,0,0,0,-1,-1,1,0,0,0,0,1,0,0,-1,1,0,-1,0,0
169,0,1,0,-1,0,0,0,1,-1,0,0,0,1,0,-1,0,1,0,0,-1,0,0,1,0,-1,0,1,0,-1,0,0,1,0,-1,0,1,0,0,-1,0,0,0,1,-1,0,0,1,0,-1,0,0,0,1,0,-1,0,1,0,0,-1,0,1,0,-1,0,-1,0,1,0,0,-1,0,0,1,0,0,0,0,1,-1,0,1,0,0,-1,0,0,1,0,-1,0,0,0,1,-1
170,0,0,1,-1,0,0,-1,1,0,0,-1,0,1,0,0,-1,1,0,0,0,1,-1,0,0,0,-1,0,1,0,0,0,0,1,-1,0,1,0,0,-1,0,0,0,1,0,-1,0,1,0,-1,0,0,0,1,-1,0,0,0,1,0,-1,-1,0,0,1,0,-1,1,0,0,0,-1,0,0,0,1,0,1,0,0,-1,0,0,1,-1,0,-1,0,1,0,0,1,-1,0,0,0
171,-1,0,1,0,0,0,0,0,-1,1,0,0,0,1,-1,1,0,-1,0,0,0,0,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,1,0,0,-1,0,-1,1,0,0,-1,0,0,1,0,-1,0,0,1,0,0,0,1,-1,0,0,1,0,-1,0,0,1,0,0,-1,-1,0,0,0,1,0,1,0,0,-1,0,1,0,0,-1,0,0,1,0,-1,-1,0,1,0,0
172,1,0,0,-1,0,0,1,0,-1,0,0,1,0,0,-1,0,1,-1,0,0,-1,0,1,0,0,-1,1,0,0,0,0,1,0,0,-1,0,1,-1,0,0,0,0,1,0,-1,1,0,0,0,-1,-1,0,1,0,0,0,-1,0,1,0,-1,1,0,0,0,-1,0,1,0,0,-1,1,0,0,0,0,0,-1,0,1,0,0,-1,1,0,0,0,1,-1,0,0,0,-1,1,0
173,0,0,1,-1,0,-1,0,0,1,0,0,0,0,1,-1,1,0,0,-1,0,1,0,0,0,-1,0,1,-1,0,0,-1,1,0,0,0,1,0,0,-1,0,1,0,-1,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,0,1,0,0,-1,1,0,0,0,1,-1,0,0,0,-1,0,0,1,0,-1,0,1,0,0,0,1,0,0,-1,1,0,0,-1,0,1,-1,0,0,0
174,0,0,-1,1,0,-1,0,0,0,1,0,0,1,0,-1,-1,0,0,0,1,0,0,-1,0,1,-1,1,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,1,0,-1,0,0,-1,1,0,0,-1,0,0,1,0,-1,0,1,0,0,1,0,-1,0,0,0,1,0,-1,0,1,-1,0,0,-1,0,1,0,0,0,-1,0,1,0,-1,1,0,0,0,-1,1,0,0,0
175,0,1,0,0,-1,0,0,1,-1,0,1,0,-1,0,0,0,1,0,-1,0,0,1,0,-1,0,0,1,-1,0,0,0,1,0,-1,0,0,1,0,0,-1,1,0,0,-1,0,0,0,-1,1,0,0,0,1,0,-1,0,1,0,-1,0,0,1,0,0,-1,0,0,0,1,-1,-1,0,1,0,0,0,-1,0,1,0,1,0,-1,0,0,0,1,0,-1,0,0,1,-1,0,0
176,0,1,-1,0,0,0,0,1,-1,0,0,1,0,0,-1,0,1,-1,0,0,0,0,1,0,-1,0,1,-1,0,0,1,0,0,-1,0,0,1,0,-1,0,1,0,0,0,-1,1,0,0,-1,0,0,1,0,0,-1,1,0,0,0,-1,0,1,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,0,1,0,0,-1,1,0,-1,0,0,1,0,0,-1,0
177,0,1,0,-1,0,-1,0,0,0,1,0,0,-1,1,0,0,1,0,0,-1,-1,0,1,0,0,-1,1,0,0,0,-1,0,0,1,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,1,0,-1,0,0,1,0,-1,0,0,0,1,-1,1,0,0,0,-1,0,1,0,0,-1,0,0,1,0,-1,0,1,0,0,-1,1,0,0,0,0,0,1,-1,0,-1,0,1,0,0
178,1,0,0,-1,0,0,0,0,-1,1,1,0,0,0,-1,0,1,0,0,-1,0,-1,0,0,1,0,1,0,0,-1,1,0,-1,0,0,1,0,0,-1,0,1,0,0,0,-1,1,0,-1,0,0,-1,1,0,0,0,0,1,0,-1,0,0,1,0,-1,0,0,1,0,0,-1,1,0,-1,0,0,1,0,0,-1,0,1,0,0,0,-1,1,0,-1,0,0,1,0,0,0,-1
179,1,0,0,0,-1,0,0,0,-1,1,1,0,0,0,-1,0,1,0,-1,0,0,0,-1,0,1,0,1,0,0,-1,1,0,0,0,-1,1,0,0,-1,0,0,1,0,-1,0,0,1,0,0,-1,0,0,0,1,-1,0,0,1,-1,0,0,1,0,-1,0,0,0,1,0,-1,1,0,0,0,-1,1,0,0,0,-1,0,1,0,0,-1,0,1,0,0,-1,1,0,0,-1,0
180,0,1,0,0,-1,1,0,0,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,0,-1,1,0,-1,1,0,0,0,0,1,0,-1,0,1,0,0,0,-1,0,1,0,0,-1,0,1,0,0,-1,0,-1,0,1,0,0,1,0,0,-1,-1,1,0,0,0,0,0,1,0,-1,0,0,-1,1,0,0,1,0,0,-1,-1,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
181,0,1,-1,0,0,0,-1,0,0,1,0,1,0,0,-1,0,1,0,0,-1,1,0,0,-1,0,-1,0,0,1,0,0,1,-1,0,0,-1,1,0,0,0,1,-1,0,0,0,0,1,0,-1,0,-1,0,0,1,0,-1,1,0,0,0,-1,1,0,0,0,-1,0,0,1,0,1,0,-1,0,0,1,0,0,-1,0,1,-1,0,0,0,1,0,0,0,-1,1,-1,0,0,0
182,0,1,0,0,-1,-1,0,1,0,0,0,1,0,0,-1,-1,1,0,0,0,-1,0,1,0,0,-1,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,1,0,-1,-1,0,0,1,0,-1,1,0,0,0,0,0,1,0,-1,0,1,0,-1,0,0,0,1,0,-1,0,1,-1,0,0,0,0,1,0,-1,1,0,0,-1,0,1,0,-1,0,0,0,0,0,1,-1
183,1,0,0,0,-1,1,0,0,-1,0,1,0,-1,0,0,-1,1,0,0,0,1,0,-1,0,0,-1,1,0,0,0,0,1,0,-1,0,0,1,0,-1,0,1,-1,0,0,0,0,1,0,-1,0,1,0,-1,0,0,0,1,-1,0,0,-1,1,0,0,0,-1,1,0,0,0,1,0,0,-1,0,1,0,-1,0,0,1,0,0,-1,0,1,0,-1,0,0,1,0,-1,0,0
184,0,-1,0,0,1,-1,0,0,0,1,0,0,0,1,-1,0,1,-1,0,0,0,0,-1,0,1,0,1,-1,0,0,0,1,-1,0,0,0,-1,0,1,0,-1,0,0,0,1,0,1,0,-1,0,0,0,-1,0,1,-1,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0,1,-1,-1,0,0,1,0,-1,1,0,0,0,0,1,-1,0,0,1,0,-1,0,0
185,0,1,0,0,-1,0,0,0,-1,1,0,0,0,1,-1,0,1,0,-1,0,0,0,-1,1,0,-1,1,0,0,0,0,0,1,-1,0,-1,1,0,0,0,-1,0,1,0,0,0,1,0,0,-1,-1,1,0,0,0,0,1,0,0,-1,0,1,0,0,-1,1,0,0,-1,0,0,1,-1,0,0,0,1,0,0,-1,1,0,0,0,-1,1,-1,0,0,0,0,1,0,0,-1
